data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"01/04/2024";"01:06:45";"2923";"Sem vítima";"130,000";"BR-277/PR";"Crescente";"Colisão transversal";1;0;0;0;0;0;0;0;0;1;3;0;0;0;0
"01/04/2024";"01:22:39";"2925";"Sem vítima";"277,350";"BR-277/PR";"Crescente";"Colisão traseira";0;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"01/04/2024";"05:14:00";"2935";"Com vítima";"595,800";"BR-376/PR";"Decrescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"01/04/2024";"05:51:10";"2940";"Sem vítima";"145,000";"BR-476/PR";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/04/2024";"06:54:36";"2948";"Com vítima";"597,779";"BR-376/PR";"Crescente";"Engavetamento";2;0;2;0;0;0;0;0;0;0;4;0;0;0;1
"01/04/2024";"10:07:00";"2957";"Com vítima";"107,500";"BR-277/PR";"Decrescente";"Colisão traseira";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
"01/04/2024";"01:30:46";"2977";"Com vítima";"594,800";"BR-376/PR";"Crescente";"Colisão transversal";1;0;1;0;0;0;0;0;0;0;2;1;0;0;0
"01/04/2024";"02:08:40";"2982";"Sem vítima";"108,500";"BR-277/PR";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"01/04/2024";"04:04:00";"2988";"Com vítima";"594,800";"BR-376/PR";"Decrescente";"Colisão traseira";0;0;1;2;0;0;0;0;0;0;2;1;0;0;0
"01/04/2024";"07:06:28";"3000";"Com vítima";"274,350";"BR-277/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"02/04/2024";"03:23:53";"3069";"Com vítima";"7,000";"418/PR";"Crescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"03/04/2024";"02:12:26";"3109";"Com vítima";"191,670";"BR-373/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"03/04/2024";"04:58:48";"3119";"Sem vítima";"7,000";"418/PR";"Crescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"03/04/2024";"11:58:55";"3174";"Com vítima";"9,400";"423/PR";"Crescente";"Colisão transversal";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"03/04/2024";"02:16:00";"3185";"Sem vítima";"280,350";"BR-277/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"04/04/2024";"04:36:00";"3236";"Sem vítima";"599,779";"BR-376/PR";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"04/04/2024";"01:58:00";"3320";"Com vítima";"111,500";"BR-277/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"04/04/2024";"03:53:47";"3331";"Com vítima";"5,000";"418/PR";"Crescente";"Colisão traseira";3;0;0;1;0;0;0;0;0;0;3;1;0;0;0
"05/04/2024";"05:43:53";"3373";"Sem vítima";"11,000";"423/PR";"Crescente";"Colisão lateral no mesmo sentido";0;0;0;1;0;0;0;0;0;1;2;0;0;0;0
"05/04/2024";"08:57:00";"3389";"Com vítima";"117,300";"BR-277/PR";"Decrescente";"Engavetamento";0;0;0;0;0;0;0;0;0;2;1;1;0;0;0
"05/04/2024";"03:23:44";"3411";"Sem vítima";"191,670";"BR-373/PR";"Crescente";"Capotamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"04:50:00";"3418";"Sem vítima";"117,300";"BR-277/PR";"Decrescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"05/04/2024";"05:33:00";"3422";"Sem vítima";"172,000";"BR-476/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"05/04/2024";"06:26:00";"3430";"Sem vítima";"188,000";"BR-277/PR";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"05/04/2024";"06:48:56";"3431";"Sem vítima";"169,400";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"07:04:00";"3432";"Sem vítima";"130,000";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"07:17:37";"3434";"Com vítima";"183,000";"BR-476/PR";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"05/04/2024";"09:18:22";"3437";"Sem vítima";"197,000";"BR-476/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/04/2024";"05:29:00";"3461";"Com vítima";"34,000";"423/PR";"Crescente";"Atropelamento de pedestre";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"06/04/2024";"05:10:00";"3504";"Com vítima";"597,779";"BR-376/PR";"Decrescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"06/04/2024";"06:29:16";"3508";"Com vítima";"163,000";"BR-476/PR";"Decrescente";"Colisão frontal";2;0;0;0;0;0;0;0;0;0;0;1;0;0;2
"07/04/2024";"02:02:45";"3532";"Sem vítima";"246,700";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"07/04/2024";"03:31:18";"3534";"Com vítima";"222,000";"BR-373/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
"07/04/2024";"03:31:53";"3535";"Sem vítima";"146,000";"BR-476/PR";"Crescente";"Colisão lateral no mesmo sentido";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"07/04/2024";"05:57:53";"3543";"Com vítima";"14,000";"423/PR";"Crescente";"Colisão transversal";1;0;0;1;0;0;0;0;0;0;0;1;1;0;1
"07/04/2024";"06:00:07";"3545";"Com vítima";"182,000";"BR-476/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"07/04/2024";"03:37:00";"3588";"Com vítima";"0,600";"Acesso BR";"Crescente";"Tombamento";0;0;0;0;0;0;0;0;0;1;4;1;0;0;0
"08/04/2024";"04:13:00";"3613";"Sem vítima";"111,500";"BR-277/PR";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"04:13:41";"3612";"Sem vítima";"137,000";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"04:33:00";"3617";"Sem vítima";"137,000";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"05:17:32";"3621";"Sem vítima";"117,300";"BR-277/PR";"Decrescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"08/04/2024";"07:52:56";"3644";"Sem vítima";"139,000";"BR-277/PR";"Crescente";"Colisão traseira";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"08/04/2024";"07:52:57";"3643";"Sem vítima";"226,000";"BR-373/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"11:11:00";"3661";"Com vítima";"167,400";"BR-277/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"08/04/2024";"03:08:47";"3684";"Sem vítima";"117,300";"BR-277/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"04:20:00";"3688";"Com vítima";"1,000";"418/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"08/04/2024";"05:31:31";"3693";"Sem vítima";"244,770";"BR-373/PR";"Crescente";"Acidentes de outra natureza";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"08/04/2024";"05:50:06";"3695";"Sem vítima";"181,000";"BR-476/PR";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"07:49:00";"3700";"Com vítima";"142,000";"BR-277/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"09/04/2024";"03:58:00";"3710";"Com vítima";"0,600";"Acesso BR";"Decrescente";"Colisão transversal";0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
"09/04/2024";"04:48:47";"3713";"Com vítima";"111,500";"BR-277/PR";"Decrescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;1;0;0;0
"09/04/2024";"08:28:00";"3732";"Sem vítima";"14,000";"423/PR";"Decrescente";"Colisão traseira";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"09/04/2024";"03:15:58";"3753";"Com vítima";"242,780";"BR-373/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"09/04/2024";"03:16:32";"3752";"Com vítima";"3,000";"418/PR";"Crescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"09/04/2024";"04:45:23";"3762";"Sem vítima";"216,000";"BR-277/PR";"Crescente";"Colisão lateral no mesmo sentido";0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
"10/04/2024";"02:48:00";"3788";"Com vítima";"174,760";"BR-476/PR";"Decrescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"10/04/2024";"03:09:34";"3789";"Sem vítima";"123,200";"BR-277/PR";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10/04/2024";"04:17:00";"3792";"Sem vítima";"112,500";"BR-277/PR";"Crescente";"Engavetamento";5;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"10/04/2024";"04:25:17";"3793";"Com vítima";"597,779";"BR-376/PR";"Decrescente";"Colisão traseira";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"10/04/2024";"04:33:00";"3794";"Sem vítima";"129,000";"BR-277/PR";"Decrescente";"Colisão traseira";1;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"10/04/2024";"07:19:00";"3805";"Sem vítima";"38,000";"427/PR";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"10/04/2024";"08:07:00";"3808";"Com vítima";"110,500";"BR-277/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"10/04/2024";"09:57:00";"3816";"Com vítima";"152,000";"BR-476/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"10/04/2024";"02:12:13";"3836";"Sem vítima";"173,000";"BR-476/PR";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"10/04/2024";"03:42:12";"3843";"Sem vítima";"165,400";"BR-277/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"10/04/2024";"05:50:12";"3852";"Com vítima";"146,000";"BR-476/PR";"Decrescente";"Queda de moto";0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
"11/04/2024";"12:04:00";"3913";"Com vítima";"108,500";"BR-277/PR";"Decrescente";"Engavetamento";0;0;3;0;0;0;0;0;0;0;2;1;1;0;0
"12/04/2024";"02:25:00";"3952";"Sem vítima";"169,400";"BR-277/PR";"Crescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12/04/2024";"03:39:00";"3955";"Sem vítima";"109,500";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"12/04/2024";"07:53:12";"3988";"Com vítima";"604,770";"BR-376/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"12/04/2024";"02:31:43";"4018";"Sem vítima";"605,760";"BR-376/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
